window,sharpe,return,entry,exit,num_trades
70,0.20685278992684888,0.014584078260908129,1,0.2,20
75,-0.7636961507715959,-0.05827459761418863,1,0.2,24
80,0.05548590997297051,0.0016991980341347634,1,0.2,14
85,0.4843681557683878,0.0437324690464882,1,0.2,24
90,0.528217281520385,0.06459704711527192,1,0.2,23
95,0.8611085886468632,0.10774889696420464,1,0.2,24
100,1.2630300256588278,0.22632669135709493,1,0.2,20
105,1.1129452407737126,0.21296318010665494,1,0.2,34
110,1.086284793163435,0.18922535566983267,1,0.2,36
115,0.6779990937048026,0.10755227470134465,1,0.2,28
120,1.1204398832292832,0.1882848287936143,1,0.2,26
125,1.6540962977452631,0.3199493717739481,1,0.2,32
130,1.5992787176217342,0.3151852651988054,1,0.2,42
135,2.68501568397368,0.6514564449951648,1,0.2,42
140,3.0861884378027953,0.8234120756256273,1,0.2,38
145,2.5641905049931566,0.6467010400039113,1,0.2,40
150,2.623276803027261,0.6475626976019426,1,0.2,40
155,2.841808163231252,0.7508216139701278,1,0.2,48
160,2.709348586060191,0.6813399604630308,1,0.2,45
165,2.972752549241679,0.8076854670940077,1,0.2,45
170,3.126179378676659,0.8263504087998381,1,0.2,47
175,3.8383832231967845,1.1315007630460459,1,0.2,49
180,4.0619309367933605,1.2225493839564936,1,0.2,45
185,5.085146640405958,1.6221482462714087,1,0.2,41
190,4.987683356351315,1.4197602559317923,1,0.2,42
195,4.713104875829012,1.0985992876528288,1,0.2,36
200,4.5867056013364484,1.0171886637650265,1,0.2,32
205,4.74527610015921,1.0778971628237652,1,0.2,38
210,5.244250462376861,1.223358815279215,1,0.2,35
215,4.737331145621891,1.042143399510055,1,0.2,37
220,4.024808946656078,0.6261666447337175,1,0.2,42
225,4.650693901332159,0.6484336240006505,1,0.2,36
230,4.527901002764475,0.6489768412161494,1,0.2,25
235,5.025664966831932,0.6621552368560379,1,0.2,26
240,4.758356139552778,0.6118758629100991,1,0.2,24
245,5.194369013259206,0.7450872066683245,1,0.2,27
250,4.851373280693693,0.6601701169322094,1,0.2,23
255,4.992609779016548,0.6574656211176313,1,0.2,21
260,4.878678897497793,0.6230203346482288,1,0.2,19
265,5.187226277307678,0.6466841635959788,1,0.2,21
270,5.082440905428566,0.5712110797735117,1,0.2,18
275,4.190293689164309,0.39367521865744615,1,0.2,13
280,4.467689303895254,0.4075163397500181,1,0.2,12
285,5.220117825871202,0.4767455678887196,1,0.2,14
290,4.42496004129895,0.32100108130553306,1,0.2,15
295,3.7743927284032464,0.22180507308277742,1,0.2,13
